City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Elizabeth,ZA,-33.918,25.5701,62.89,77,90,12.66,overcast clouds
80,Provideniya,RU,64.3833,-173.3,10.51,52,1,11.18,clear sky
81,Guerrero Negro,MX,27.9769,-114.0611,69.51,54,100,7.92,overcast clouds
82,Pontal Do Parana,BR,-25.6533,-48.5128,71.73,92,24,2.1,few clouds
83,Yara,CU,20.2753,-76.9533,71.94,91,0,4.27,clear sky
84,Lafia,NG,8.4833,8.5167,76.01,52,100,3.13,overcast clouds
85,Yatou,CN,37.15,122.3833,43.63,41,68,19.66,broken clouds
86,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,75,10.36,broken clouds
87,Dong Hoi,VN,17.4833,106.6,65.68,90,100,12.77,overcast clouds
88,Castro,BR,-24.7911,-50.0119,61.68,61,52,2.46,broken clouds
89,Port Hardy,CA,50.6996,-127.4199,44.6,93,90,2.3,overcast clouds
90,Eureka,US,40.8021,-124.1637,50.2,77,26,6.24,scattered clouds
91,Korla,CN,41.7597,86.1469,31.86,50,7,3.06,clear sky
92,Zhigansk,RU,66.7697,123.3711,-18.62,95,100,9.01,overcast clouds
93,Namibe,AO,-15.1961,12.1522,68.2,78,63,5.19,broken clouds
94,Boone,US,39.0334,-92.3335,35.53,53,11,5.57,few clouds
95,Balao,EC,-2.9167,-79.8167,70.59,86,100,5.1,overcast clouds
96,Pokhara,NP,28.2333,83.9833,64.63,70,14,4.09,few clouds
97,Jamestown,US,42.097,-79.2353,33.39,63,90,4.0,light snow
98,Barrow,US,71.2906,-156.7887,-3.98,71,75,4.61,broken clouds
99,Yining,CN,29.0361,114.5636,54.97,33,20,1.66,few clouds
100,Acapulco,MX,16.8634,-99.8901,78.48,82,1,4.32,clear sky
101,Ilulissat,GL,69.2167,-51.1,17.62,62,20,17.27,few clouds
102,Bethel,US,41.3712,-73.414,37.04,62,1,3.44,clear sky
103,Road Town,VG,18.4167,-64.6167,78.01,73,32,13.78,scattered clouds
104,Vila Velha,BR,-20.3297,-40.2925,69.75,89,75,3.44,broken clouds
105,Kodiak,US,57.79,-152.4072,17.11,53,1,5.75,clear sky
106,Petrolina De Goias,BR,-16.095,-49.3381,72.7,92,97,1.48,light rain
107,Vestmannaeyjar,IS,63.4427,-20.2734,42.42,80,100,13.82,light rain
108,Grants,US,35.1473,-107.8514,26.83,36,1,0.0,clear sky
109,Vitim,RU,59.4511,112.5578,-3.6,78,4,2.17,clear sky
110,Charters Towers,AU,-20.1,146.2667,94.86,20,96,4.88,overcast clouds
111,Nantucket,US,41.2835,-70.0995,44.96,71,100,26.6,overcast clouds
112,Zhezkazgan,KZ,47.8043,67.7144,34.61,90,100,17.13,light snow
113,Leh,IN,34.1667,77.5833,19.02,45,0,2.91,clear sky
114,Mitsamiouli,KM,-11.3847,43.2844,82.69,57,20,1.14,few clouds
115,Ponta Delgada,PT,37.7333,-25.6667,68.5,94,75,12.66,broken clouds
116,Bonavista,CA,48.6499,-53.1147,38.12,76,98,19.44,overcast clouds
117,Karratha,AU,-20.7377,116.8463,90.59,43,82,10.74,broken clouds
118,Gazanjyk,TM,39.2446,55.5154,50.86,52,35,2.53,scattered clouds
119,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,87,93,15.17,overcast clouds
120,Qaanaaq,GL,77.484,-69.3632,-7.44,87,97,6.42,overcast clouds
121,Padang,ID,-0.9492,100.3543,87.85,65,100,4.65,overcast clouds
122,Dzaoudzi,YT,-12.7887,45.2699,82.29,69,75,11.5,broken clouds
123,Manggar,ID,-2.8833,108.2667,88.09,59,100,1.74,overcast clouds
124,Launceston,AU,-41.45,147.1667,75.61,51,75,5.99,broken clouds
125,Cap Malheureux,MU,-19.9842,57.6142,80.47,59,3,4.0,clear sky
126,Dikson,RU,73.5069,80.5464,-10.14,97,100,17.74,light snow
127,Airai,TL,-8.9266,125.4092,77.95,48,86,2.28,overcast clouds
128,Clyde River,CA,70.4692,-68.5914,16.03,86,100,19.57,light snow
129,Sioux Lookout,CA,50.1001,-91.917,12.27,85,20,2.3,few clouds
130,Te Anau,NZ,-45.4167,167.7167,63.21,48,11,5.46,few clouds
131,Port Macquarie,AU,-31.4333,152.9167,75.88,74,63,6.71,broken clouds
132,Tasiilaq,GL,65.6145,-37.6368,26.76,63,97,7.81,overcast clouds
133,Lebu,CL,-37.6167,-73.65,53.83,87,0,19.69,clear sky
134,Cape Town,ZA,-33.9258,18.4232,64.11,71,0,19.57,clear sky
135,Tiksi,RU,71.6872,128.8694,-21.98,97,51,7.7,broken clouds
136,Severo-Kurilsk,RU,50.6789,156.125,38.1,85,96,19.57,overcast clouds
137,Komsomolskiy,UZ,40.4272,71.7189,44.02,48,5,0.0,haze
138,Labuhan,ID,-6.8844,112.2051,87.24,62,89,4.36,light rain
139,Gorodishche,RU,48.8045,44.4744,37.89,93,90,11.18,overcast clouds
140,Sitka,US,57.0531,-135.33,35.49,87,90,3.44,light snow
141,Kaitangata,NZ,-46.2817,169.8464,57.09,60,73,5.61,broken clouds
142,Talnakh,RU,69.4865,88.3972,7.14,89,100,8.12,overcast clouds
143,Luderitz,NA,-26.6481,15.1594,59.23,86,29,12.68,scattered clouds
144,Mabaruma,GY,8.2,-59.7833,72.88,98,89,2.24,overcast clouds
145,Bonfim,BR,3.0833,-59.95,76.93,81,70,2.77,broken clouds
146,Santiago Del Estero,AR,-27.7951,-64.2615,73.08,89,92,13.76,overcast clouds
147,Aklavik,CA,68.2191,-135.0107,-13.97,95,100,7.74,overcast clouds
148,Provost,CA,52.3501,-110.2683,41.45,79,100,7.23,overcast clouds
149,Riyadh,SA,24.6877,46.7219,62.74,58,13,8.01,few clouds
150,Derzhavinsk,KZ,51.1,66.3167,28.17,95,68,17.0,broken clouds
151,Torbay,CA,47.6666,-52.7314,37.58,82,75,16.11,broken clouds
152,Mahebourg,MU,-20.4081,57.7,80.26,73,20,2.3,few clouds
153,Kuah,MY,6.3265,99.8432,87.8,74,40,3.44,light rain
154,Makakilo City,US,21.3469,-158.0858,79.12,75,90,5.75,overcast clouds
155,Cockburn Town,TC,21.4612,-71.1419,81.21,75,4,12.21,clear sky
156,Hof,DE,50.3167,11.9167,29.91,92,90,3.44,overcast clouds
157,Mwinilunga,ZM,-11.7358,24.4293,60.49,99,100,1.57,light rain
158,Katsuura,JP,35.1333,140.3,60.84,74,87,4.7,overcast clouds
159,Vostok,RU,46.4856,135.8833,10.8,90,100,14.23,light snow
160,Boguchany,RU,58.3814,97.4531,28.27,87,91,9.57,overcast clouds
161,Orocue,CO,4.7912,-71.3354,76.68,84,94,4.23,overcast clouds
162,Torbat-E Jam,IR,35.244,60.6225,58.55,29,98,3.09,overcast clouds
163,Husavik,IS,66.0449,-17.3389,40.91,82,20,7.67,few clouds
164,Mzimba,MW,-11.9,33.6,69.06,52,58,3.85,broken clouds
165,Bambous Virieux,MU,-20.3428,57.7575,80.22,73,20,2.3,few clouds
166,Bandarbeyla,SO,9.4942,50.8122,78.57,63,85,12.06,overcast clouds
167,Ankpa,NG,7.3706,7.6253,72.48,93,81,4.7,broken clouds
168,Kalevala,RU,65.2,31.1667,16.43,86,63,6.71,broken clouds
169,Yulara,AU,-25.2406,130.9889,84.04,51,40,10.36,scattered clouds
170,Waipawa,NZ,-41.4122,175.5153,61.03,62,81,6.44,broken clouds
171,Rivadavia,AR,-33.1905,-68.4608,79.27,29,2,7.72,clear sky
172,Price,US,39.5994,-110.8107,36.12,43,1,9.22,clear sky
173,Zambezi,ZM,-13.5432,23.1047,64.87,92,100,4.59,overcast clouds
174,Araouane,ML,18.9048,-3.5265,75.56,31,99,7.56,overcast clouds
175,Tambopata,PE,-12.7333,-69.1833,75.09,82,100,2.66,overcast clouds
176,Anito,PH,12.4497,125.2886,85.57,64,80,10.58,broken clouds
177,Belaya Gora,RU,68.5333,146.4167,-17.43,99,100,4.81,overcast clouds
178,Talara,PE,-4.5772,-81.2719,65.79,81,70,9.51,broken clouds
179,Iquitos,PE,-3.7481,-73.2472,77.04,94,75,2.3,broken clouds
180,Ugoofaaru,MV,5.6667,73.0,81.48,76,93,13.56,overcast clouds
181,Constitucion,CL,-35.3333,-72.4167,60.71,57,0,8.19,clear sky
182,Strezhevoy,RU,60.7333,77.5889,24.78,90,100,13.33,overcast clouds
183,Ahipara,NZ,-35.1667,173.1667,66.25,66,18,11.23,few clouds
184,Yellowknife,CA,62.456,-114.3525,-9.58,77,40,19.57,scattered clouds
185,Cherskiy,RU,68.75,161.3,-32.31,100,40,3.24,scattered clouds
186,Port Lincoln,AU,-34.7333,135.8667,66.9,65,99,15.75,light rain
187,Kashi,CN,39.4547,75.9797,35.22,47,1,4.47,smoke
188,Marzuq,YE,14.4,46.4667,66.65,48,29,2.68,scattered clouds
189,Alofi,NU,-19.0595,-169.9187,82.29,65,81,12.66,broken clouds
190,Atherton,GB,53.5237,-2.4935,46.27,90,60,1.01,broken clouds
191,Saint-Jovite,CA,46.1186,-74.5966,27.48,86,32,0.0,scattered clouds
192,Chimoio,MZ,-19.1164,33.4833,67.8,96,100,0.78,light rain
193,Agirish,RU,61.9247,63.0231,10.94,95,96,5.86,overcast clouds
194,San Luis,AR,-33.295,-66.3356,70.34,31,0,20.71,clear sky
195,Ambilobe,MG,-13.2,49.05,78.85,69,77,4.16,broken clouds
196,Carutapera,BR,-1.195,-46.02,78.12,81,37,5.17,scattered clouds
197,Ketchikan,US,55.3422,-131.6461,39.18,87,90,4.61,light rain
198,Sepolno Krajenskie,PL,53.452,17.5317,36.0,83,54,13.85,light rain
199,Inirida,CO,3.8653,-67.9239,73.2,97,97,2.64,overcast clouds
200,Nome,US,64.5011,-165.4064,6.87,47,1,16.11,clear sky
201,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,82,0,4.0,clear sky
202,Vagay,RU,57.9375,69.0217,19.51,92,100,9.19,overcast clouds
203,Kavaratti,IN,10.5669,72.642,81.28,76,80,8.5,broken clouds
204,Lavrentiya,RU,65.5833,-171.0,-2.47,93,8,10.29,clear sky
205,Faya,SA,18.3851,42.4509,53.71,64,11,2.04,few clouds
206,Butwal,NP,27.7006,83.4484,71.82,62,0,3.47,clear sky
207,Souillac,MU,-20.5167,57.5167,81.36,73,20,2.3,few clouds
208,Lorengau,PG,-2.0226,147.2712,79.66,85,100,8.97,overcast clouds
209,Upernavik,GL,72.7868,-56.1549,2.28,87,8,6.26,clear sky
210,Jalu,LY,29.0331,21.5482,60.28,49,100,9.6,overcast clouds
211,Hurghada,EG,27.2574,33.8129,62.64,51,0,6.91,clear sky
212,Port-Gentil,GA,-0.7193,8.7815,79.3,85,92,7.05,light rain
213,Idrija,SI,46.0028,14.0306,48.52,95,100,7.76,overcast clouds
214,Cabo San Lucas,MX,22.8909,-109.9124,73.51,77,1,1.99,clear sky
215,Lasa,IT,46.6166,10.7002,40.08,89,65,2.93,broken clouds
216,Lobito,AO,-12.3481,13.5456,75.97,85,87,2.98,overcast clouds
217,Shiyan,CN,32.6475,110.7781,55.47,35,12,5.91,few clouds
218,Georgiyevka,KZ,43.0369,74.7114,44.64,49,0,4.47,clear sky
219,Bairnsdale,AU,-37.8333,147.6167,80.47,62,100,5.99,overcast clouds
220,Victoria,HK,22.2855,114.1577,63.18,74,99,1.01,overcast clouds
221,Bredasdorp,ZA,-34.5322,20.0403,55.27,77,22,3.24,few clouds
222,Porto Novo,BJ,6.4965,2.6036,82.22,86,63,2.57,broken clouds
223,Nadbai,IN,27.2333,77.2,72.72,20,0,4.41,clear sky
224,Koutsouras,GR,35.0339,25.9469,62.11,88,100,11.77,overcast clouds
225,Muslyumovo,RU,55.3033,53.1947,20.23,90,96,16.06,overcast clouds
226,Monterey,US,36.2505,-121.2516,54.1,36,0,5.17,clear sky
227,Yerbogachen,RU,61.2767,108.0108,-1.17,80,51,9.37,broken clouds
